Index	EXG0	EXG1	EXG2	EXG3	Accel_X	Accel_Y	Accel_Z	Timestamp	Marker
57	-1288.6798	-1623.2961	-1760.2063	-865.7419	0	0	0	1784008759664	0
58	-1264.0264	-1586.1963	-1736.2710	-833.6686	0	0	0	1784008759730	0
59	-1231.2349	-1548.6178	-1701.5647	-800.1591	0	0	0	1784008759902	0
60	-1521.3314	-1355.4595	-1541.1978	-1329.3699	0	0	0	1784008759989	0
61	-1540.4797	-1399.7399	-1564.8938	-1343.7311	0	0	0	1784008760119	0
62	-1530.4269	-1369.1025	-1546.4636	-1324.1041	0	0	0	1784008760196	0
63	-1517.0231	-1368.3845	-1542.8733	-1311.8971	0	0	0	1784008760243	0
64	-1497.1567	-1348.0394	-1530.1875	-1296.8177	0	0	0	1784008760477	0
65	-1516.7837	-1374.3684	-1546.9423	-1312.1365	0	0	0	1784008760744	0
66	-1504.0980	-1380.1128	-1547.4210	-1289.3978	0	0	0	1784008760835	0
67	-1270.0101	-1258.7606	-1437.0790	-1209.4537	0	0	0	1784008761005	0
68	-1287.2437	-1247.7502	-1448.0892	-1240.5697	0	0	0	1784008761311	0
69	-1288.6798	-1253.4948	-1432.7706	-1234.1072	0	0	0	1784008761351	0
70	-1296.8177	-1246.3142	-1437.0790	-1242.7239	0	0	0	1784008761432	0
71	-1313.0939	-1268.3347	-1439.9513	-1258.0425	0	0	0	1784008761920	0
72	-1079.7241	-1489.0187	-1646.2740	-791.7817	0	0	0	1784008762122	0
73	-1074.4583	-1481.3594	-1616.8335	-781.9682	0	0	0	1784008762250	0
74	-1500.9865	-1439.2332	-1597.4459	-1242.0059	0	0	0	1784008762307	0
75	-1502.4225	-1423.9146	-1603.6691	-1248.7078	0	0	0	1784008762379	0
76	-1505.5342	-1427.2655	-1592.1802	-1231.7136	0	0	0	1784008762412	0
77	-1481.3594	-1423.6752	-1601.0363	-1227.8839	0	0	0	1784008762618	0
78	-1491.6516	-1452.8763	-1603.9084	-1224.5330	0	0	0	1784008762689	0
79	-1506.7308	-1463.6472	-1645.5560	-1223.5756	0	0	0	1784008762817	0
80	-1333.4388	-1296.0997	-1462.9292	-1273.6005	0	0	0	1784008762934	0
81	-1317.4022	-1235.3040	-1417.4520	-1272.8824	0	0	0	1784008763100	0
82	-1326.4977	-1244.3993	-1418.8882	-1287.9617	0	0	0	1784008763152	0
83	-1326.2583	-1243.2026	-1431.8132	-1320.0350	0	0	0	1784008763306	0
84	-1325.3009	-1238.4155	-1424.1539	-1332.4814	0	0	0	1784008763408	0
85	-1311.4183	-1228.3627	-1413.3829	-1406.6810	0	0	0	1784008763578	0
86	-1311.6577	-1236.0220	-1418.4094	-1343.2524	0	0	0	1784008763667	0
87	-1399.0217	-1275.7546	-1451.4402	-1544.3094	0	0	0	1784008763906	0
88	-1173.0720	-1451.9190	-1595.7704	-720.9330	0	0	0	1784008764155	0
89	-1068.4745	-1445.4564	-1592.1802	-781.9682	0	0	0	1784008764225	0
90	-1033.5288	-1431.0952	-1596.7279	-780.7714	0	0	0	1784008764269	0
91	-1056.0281	-1431.5739	-1590.9834	-831.5144	0	0	0	1784008764392	0
92	-1083.7931	-1418.8882	-1578.7764	-857.8433	0	0	0	1784008764472	0
